"","tms","bs"
"636","09",5
"637","09",5
"638","09",5
"639","09",5
"640","09",1
"641","09",5
"642","09",1
"643","09",5
"644","09",1
"645","09",5
"646","09",1
"647","09",5
"648","09",1
"649","09",5
"650","09",5
"651","09",5
"652","09",5
"653","09",5
"654","09",5
"655","09",5
"656","09",1
"657","09",1
"658","09",1
"659","09",1
"660","09",1
"661","09",5
"662","09",1
"663","09",1
"664","09",1
"665","09",1
"666","09",1
"667","09",5
"668","09",1
"669","09",1
"670","09",1
"671","09",1
"672","09",1
"673","09",5
"674","09",1
"675","09",1
"676","09",1
"677","09",1
"678","09",3
"679","09",1
"680","09",1
"681","09",1
"682","09",3
"683","09",2
"684","09",3
"685","09",1
"686","09",3
"687","09",1
"688","09",1
"689","09",3
"690","09",1
"691","09",1
"692","09",3
"693","09",1
"694","09",1
"695","09",3
"696","09",1
"697","09",1
"698","09",2
"699","09",1
"700","09",1
"701","09",1
"702","09",3
"703","09",1
"704","09",1
"705","09",3
"706","09",3
"707","09",5
"708","09",3
"709","09",1
"710","09",1
"711","09",1
"712","09",1
"713","09",3
"714","09",3
"715","09",3
"716","09",1
"717","09",3
"718","09",3
"719","09",1
"720","09",5
"721","09",1
"722","09",3
"723","09",1
"724","09",1
"725","09",1
"726","09",1
"727","09",1
"728","09",1
"729","09",3
"730","09",1
"731","09",1
"732","09",1
"733","09",1
"734","09",1
"735","09",3
"736","09",1
"737","09",1
"738","09",2
"739","09",1
"740","09",1
"741","09",1
"742","10",3
"743","10",1
"744","10",3
"745","10",3
"746","10",3
"747","10",3
"748","10",3
"749","10",3
"750","10",1
"751","10",2
"752","10",1
"753","10",2
"754","10",2
"755","10",2
"756","10",3
"757","10",1
"758","10",2
"759","10",1
"760","10",1
"761","10",1
"762","10",4
"763","10",1
"764","10",2
"765","10",2
"766","10",3
"767","10",3
"768","10",3
"769","10",2
"770","10",3
"771","10",1
"772","10",3
"773","10",2
"774","10",3
"775","10",5
"776","10",1
"777","10",3
"778","10",1
"779","10",3
"780","10",5
"781","10",3
"782","10",1
"783","10",2
"784","10",2
"785","10",1
"786","10",3
"787","10",2
"788","10",1
"789","10",3
"790","10",1
"791","10",3
"792","10",3
"793","10",1
"794","10",3
"795","10",3
"796","10",3
"797","10",3
"798","10",3
"799","10",1
"800","10",3
"801","10",2
"802","10",1
"803","10",2
"804","10",3
"805","10",1
"806","10",1
"807","10",1
"808","10",1
"809","10",5
"810","10",1
"811","10",1
"812","10",3
"813","10",3
"814","10",1
"815","10",2
"816","10",3
"817","10",1
"818","10",1
"819","10",3
"820","10",5
"821","10",5
"822","10",3
"823","10",5
"824","10",5
"825","10",1
"826","10",5
"827","10",5
"828","10",5
"829","10",5
"830","10",4
"831","10",2
"832","10",5
"833","10",5
"834","10",5
"835","10",5
"836","10",5
"837","10",5
"838","10",5
"839","10",5
"840","10",5
"841","10",5
"842","10",5
"843","10",5
"844","10",5
"845","10",3
"846","10",5
"847","10",1
"848","10",1
"849","10",5
"850","10",5
"851","10",1
"852","10",1
"853","10",5
"854","10",5
"855","10",2
"856","10",5
"857","10",5
"858","10",5
"859","10",1
"860","10",5
"861","10",5
"862","10",5
"863","10",5
"864","10",5
"865","10",5
"866","10",5
"867","10",5
"868","10",5
"869","10",5
"870","10",5
"871","10",5
"872","10",5
"873","10",5
"874","10",5
"875","10",5
"876","10",5
"877","10",5
"878","10",5
"879","10",5
"880","10",5
"881","10",5
"882","10",5
"883","10",5
"884","10",5
"885","10",5
"886","10",5
"887","10",5
"888","10",5
"889","10",5
"890","10",5
"891","10",5
"892","10",5
"893","10",5
"894","10",5
"895","10",5
"896","10",5
"897","10",5
"898","10",5
"899","10",5
"900","10",5
"901","10",5
"902","10",5
"903","10",5
"904","10",5
"905","10",5
"906","10",3
"907","10",2
"908","10",3
"909","10",5
"910","10",1
"911","10",5
"912","10",2
"913","10",5
"914","10",5
"915","10",5
"916","10",5
"917","10",4
"918","10",5
"919","10",3
"920","10",2
"921","10",5
"922","10",5
"923","10",5
"924","10",5
"925","10",5
"926","10",5
"927","10",5
"928","10",5
"929","10",5
"930","10",5
"931","10",5
"932","10",5
"933","10",5
"934","10",5
"935","10",5
"936","10",5
"937","10",5
"938","10",5
"939","10",5
"940","10",1
"941","10",5
"942","10",1
"943","10",5
"944","10",3
"945","10",1
"946","10",3
"947","10",5
"948","10",5
"949","10",5
"950","10",5
"951","10",5
"952","10",5
"953","10",5
"954","10",5
